RN,TS,F2UR,F3UF,F4NBDM,F5NBDR,F6NBDF
414,8/3/2016 7:15,0.0,0.0,0.0,0.0,0.0
415,8/3/2016 7:30,0.0,0.0,0.0,0.0,0.0
416,8/3/2016 7:45,0.0,0.0,0.0,0.0,0.0
417,8/3/2016 8:00,0.0,0.0,0.0,0.0,0.0
418,8/3/2016 8:15,0.0,0.0,0.0,0.0,0.0
419,8/3/2016 8:30,0.0,0.0,0.0,0.0,0.0
420,8/3/2016 8:45,0.0,0.0,0.0,0.0,0.0
421,8/3/2016 9:00,0.0,0.0,0.0,0.0,0.0
422,8/3/2016 9:15,0.0,0.0,0.0,0.0,0.0
423,8/3/2016 9:30,0.0,0.0,0.0,0.0,0.0
424,8/3/2016 9:45,0.0,0.0,0.0,0.0,0.0
425,8/3/2016 10:00,0.0,0.0,0.0,0.0,0.0
426,8/3/2016 10:15,0.0,0.0,0.0,0.0,0.0
427,8/3/2016 10:30,0.0,0.0,0.0,0.0,0.0
428,8/3/2016 10:45,0.0,0.0,0.0,0.0,0.0
429,8/3/2016 11:00,0.0,0.0,0.0,0.0,0.0
430,8/3/2016 11:15,0.0,0.0,0.0,0.0,0.0
431,8/3/2016 11:30,0.0,0.0,0.0,0.0,0.0
432,8/3/2016 11:45,0.0,0.0,0.0,0.0,0.0
433,8/3/2016 12:00,0.0,0.0,0.0,0.0,0.0
434,8/3/2016 12:15,0.0,0.0,0.0,0.0,0.0
435,8/3/2016 12:30,0.0,0.0,0.0,0.0,0.0
436,8/3/2016 12:45,0.0,0.0,0.0,0.0,0.0
437,8/3/2016 13:00,0.0,0.0,0.0,0.0,0.0
438,8/3/2016 13:15,0.0,0.0,0.0,0.0,0.0
439,8/3/2016 13:30,0.0,0.0,0.0,0.0,0.0
440,8/3/2016 13:45,0.0,0.0,0.0,0.0,0.0
441,8/3/2016 14:00,0.0,0.0,0.0,0.0,0.0
442,8/3/2016 14:15,0.0,0.0,0.0,0.0,0.0
443,8/3/2016 14:30,0.0,0.0,0.0,0.0,0.0
444,8/3/2016 14:45,0.0,0.0,0.0,0.0,0.0
445,8/3/2016 15:00,0.0,0.0,0.0,0.0,0.0
446,8/3/2016 15:15,0.0,0.0,0.0,0.0,0.0
447,8/3/2016 15:30,0.0,0.0,0.0,0.0,0.0
448,8/3/2016 15:45,0.0,0.0,0.0,0.0,0.0
449,8/3/2016 16:00,0.0,0.0,0.0,0.0,0.0
450,8/3/2016 16:15,0.0,0.0,0.0,0.0,0.0
451,8/3/2016 16:30,0.0,0.0,0.0,0.0,0.0
452,8/3/2016 16:45,0.0,0.0,0.0,0.0,0.0
453,8/3/2016 17:00,0.0,0.0,0.0,0.0,0.0
454,8/3/2016 17:15,0.0,0.0,0.0,0.0,0.0
455,8/3/2016 17:30,0.0,0.0,0.0,0.0,0.0
456,8/3/2016 17:45,0.0,0.0,0.0,0.0,0.0
457,8/3/2016 18:00,0.0,0.0,0.0,0.0,0.0
458,8/3/2016 18:15,0.0,0.0,0.0,0.0,0.0
459,8/3/2016 18:30,0.0,0.0,0.0,0.0,0.0
460,8/3/2016 18:45,0.0,0.0,0.0,0.0,0.0
461,8/3/2016 19:00,0.0,0.0,0.0,0.0,0.0
462,8/3/2016 19:15,0.0,0.0,0.0,0.0,0.0
463,8/3/2016 19:30,0.0,0.0,0.0,0.0,0.0
464,8/3/2016 19:45,0.0,0.0,0.0,0.0,0.0
465,8/3/2016 20:00,0.0,0.0,0.0,0.0,0.0
466,8/3/2016 20:15,0.0,0.0,0.0,0.0,0.0
467,8/3/2016 20:30,0.0,0.0,0.0,0.0,0.0
468,8/3/2016 20:45,0.0,0.0,0.0,0.0,0.0
469,8/3/2016 21:00,0.0,0.0,0.0,0.0,0.0
470,8/3/2016 21:15,0.0,0.0,0.0,0.0,0.0
471,8/3/2016 21:30,0.0,0.0,0.0,0.0,0.0
